timestamp,rr
1622960423230,597,556018
1622960424171,595,556615
1622960424766,583,557210
1622960425150,579,557793
1622960425729,574,558372
1622960426145,565,558946
1622960426710,563,559511
1622960427130,557,560074
1622960427687,558,560631
1622960428117,557,561189
1622960429109,546,561746
1622960429655,550,562292
1622960430095,542,562842
1622960430637,549,563384
1622960431087,540,563933
1622960431627,544,564473
1622960432092,540,565017
1622960432632,539,565557
1622960433069,541,566096
1622960433610,538,566637
1622960434071,537,567175
1622960435046,538,567712
1622960435584,540,568250
1622960436040,539,568790
1622960436579,537,569329
1622960437028,539,569866
1622960437567,536,570405
1622960438033,546,570941
1622960438579,542,571487
1622960439010,542,572029
1622960439552,539,572571
1622960440511,545,573110
1622960441056,543,573655
1622960441492,539,574198
1622960442485,542,574737
1622960443027,537,575279
1622960443469,543,575816
1622960444012,539,576359
1622960444472,535,576898
1622960445007,538,577433
1622960445947,535,577971
1622960446482,535,578506
1622960446453,540,579041
1622960446993,530,579581
1622960447432,537,580111
1622960447969,531,580648
1622960448431,541,581179
1622960449412,531,581720
1622960449943,533,582251
1622960450410,530,582784
1622960450940,529,583314
1622960451377,524,583843
1622960451901,524,584367
1622960452387,525,584891
1622960452912,523,585416
1622960453370,515,585939
1622960453885,514,586454
1622960454367,510,586968
1622960454877,517,587478
1622960455347,502,587995
1622960455849,505,588497
1622960456347,502,589002
1622960456849,505,589504
1622960457318,504,590009
1622960457822,502,590513
1622960458307,504,591015
1622960458811,512,591519
1622960459311,512,592031
1622960459823,512,592543
1622960460287,513,593055
1622960460800,517,593568
1622960461289,515,594085
1622960461804,519,594600
1622960462287,515,595119
1622960462802,517,595634
1622960463266,513,596151
1622960463779,515,596664
1622960464271,516,597179
1622960464787,512,597695
1622960465248,517,598207
1622960465765,515,598724
1622960466232,519,599239
1622960466751,514,599758
1622960467232,520,600272
1622960468232,517,600792
1622960468749,526,601309
1622960469207,528,601835
1622960469735,526,602363
1622960471177,531,602889
1622960471708,534,603420
1622960471258,535,603954
1622960471793,536,604489
1622960472193,533,605025
1622960472726,533,605558
1622960473162,533,606091
1622960473695,532,606624
1622960474167,534,607156
1622960474701,527,607690
1622960475150,540,608217
1622960476128,540,608757
1622960476668,538,609297
1622960477117,539,609835
1622960477656,532,610374
1622960478127,531,610906
1622960478658,528,611437
1622960479106,531,611965
1622960479637,526,612496
1622960480091,522,613022
1622960480613,521,613544
1622960481090,521,614065
1622960481611,524,614586
1622960482090,519,615110
1622960482609,520,615629
1622960483071,510,616149
1622960483581,517,616659
1622960484049,509,617176
1622960484558,513,617685
1622960486027,503,618198
1622960486530,505,618701
1622960486070,505,619206
1622960486575,510,619711
1622960487031,507,620221
1622960487538,505,620728
1622960488006,505,621233
1622960488511,513,621738
1622960489009,513,622251
1622960490487,512,622764
1622960490999,514,623276
1622960491490,512,623790
1622960492002,512,624302
1622960492475,510,624814
1622960492985,514,625324
1622960493450,516,625838
1622960493966,516,626354
1622960494445,517,626870
1622960494962,519,627387
1622960495450,519,627906
1622960495969,522,628425
1622960496431,521,628947
1622960496952,521,629468
1622960497430,519,629989
1622960497949,517,630508
1622960498408,523,631025
1622960498931,525,631548
1622960499408,526,632073
1622960499934,524,632599
1622960500387,524,633123
1622960500911,527,633647
1622960501371,525,634174
1622960501896,531,634699
1622960502366,527,635230
1622960503367,527,635757
1622960503894,527,636284
1622960504341,537,636811
1622960504878,533,637348
1622960505330,536,637881
1622960505866,534,638417
1622960506327,541,638951
1622960506868,540,639492
1622960507328,545,640032
1622960507873,541,640577
1622960508306,548,641118
1622960509308,549,641666
1622960509857,556,642215
1622960511291,553,642771
1622960511844,551,643324
1622960511347,559,643875
1622960511906,556,644434
1622960512273,558,644990
1622960512831,555,645548
1622960513284,547,646103
1622960513831,541,646650
1622960514254,543,647191
1622960514797,534,647734
1622960515237,534,648268
1622960516231,523,648802
1622960516754,523,649325
1622960517211,520,649848
1622960517731,522,650368
1622960518206,510,650890
1622960518716,513,651400
1622960519207,508,651913
1622960519715,514,652421
1622960521187,503,652935
1622960521211,507,653438
1622960521718,1005,653945
1622960522177,499,654950
1622960522676,505,655449
1622960523170,501,655954
1622960523671,497,656455
1622960524148,498,656952
1622960524646,499,657450
1622960525152,505,657949
1622960525657,494,658454
1622960526126,498,658948
1622960526624,493,659446
1622960527137,499,659939
1622960528108,495,660438
1622960528603,986,660933
1622960529095,486,661919
1622960529581,491,662405
1622960530091,490,662896
1622960530581,486,663386
1622960531102,489,663872
1622960531591,489,664361
1622960532071,489,664850
1622960532560,489,665339
1622960533049,491,665828
1622960533067,490,666319
1622960533557,492,666809
1622960534045,492,667301
1622960534537,497,667793
1622960535053,500,668290
1622960535553,502,668790
1622960536028,507,669292
1622960536535,510,669799
1622960537027,509,670309
1622960538005,513,670818
1622960538518,512,671331
1622960539510,512,671843
1622960540022,509,672355
1622960540491,512,672864
1622960541003,511,673376
1622960541471,509,673887
1622960541980,511,674396
1622960542471,512,674907
1622960542983,511,675419
1622960543452,513,675930
1622960543965,511,676443
1622960544452,515,676954
1622960544967,415,677469
1622960545431,587,677884
1622960546018,524,678471
1622960546430,517,678995
1622960546947,517,679512
1622960547428,521,680029
1622960547949,512,680550
1622960548406,521,681062
1622960548927,511,681583
1622960549390,514,682094
1622960549904,513,682608
1622960550388,513,683121
1622960550901,508,683634
1622960551371,509,684142
1622960552371,506,684651
1622960552877,505,685157
1622960553350,1005,685662
1622960554355,507,686667
1622960554348,496,687174
1622960554844,501,687670
1622960555325,498,688171
1622960555823,495,688669
1622960556327,495,689164
1622960556822,487,689659
1622960557306,495,690146
1622960557801,486,690641
1622960558311,495,691127
1622960558806,491,691622
1622960559292,487,692113
1622960559779,492,692600
1622960561268,484,693092
1622960561752,496,693576
1622960561294,488,694072
1622960561782,487,694560
1622960562270,491,695047
1622960562761,484,695538
1622960563251,491,696022
1622960563742,487,696513
1622960564257,480,697000
1622960564737,481,697480
