timestamp,heartrate,rmssd,sdnn,alpha1,filtered,samples,droppedPercent
1622965304562,,20,,1.5,5,139,4
1622965304725,,20,,1.5,5,139,4
1622965305709,,20,,1.5,5,139,4
1622965306664,,20,,1.5,5,139,4
1622965307603,,20,,1.5,6,137,4
1622965309422,,21,,1.48,6,138,4
1622965309656,,21,,1.48,6,138,4
1622965310717,,21,,1.48,7,137,4
1622965311689,,21,,1.48,7,137,5
1622965312694,,21,,1.48,7,136,5
1622965313714,,21,,1.48,7,136,5
1622965314624,,21,,1.48,7,137,5
1622965315603,,21,,1.48,7,137,5
1622965317500,,21,,1.48,7,138,5
1622965317618,,21,,1.48,7,138,5
1622965318631,,21,,1.48,7,138,5
1622965319630,,21,,1.48,7,138,5
1622965320616,,21,,1.48,7,138,5
1622965321613,,21,,1.48,7,137,5
1622965322600,,21,,1.48,7,137,5
1622965323583,,21,,1.48,7,138,5
1622965324563,,21,,1.48,7,137,5
1622965325546,,21,,1.48,7,137,5
1622965327416,,21,,1.48,7,138,5
1622965327530,,21,,1.48,7,138,5
1622965328508,,21,,1.43,7,137,5
1622965329497,,21,,1.43,7,137,5
1622965330504,,21,,1.43,7,137,5
1622965331479,,21,,1.43,7,137,5
1622965332469,,21,,1.43,7,137,5
1622965333465,,21,,1.43,7,137,5
1622965334443,,21,,1.43,7,136,5
1622965336334,,21,,1.43,7,137,5
1622965336433,,21,,1.43,7,137,5
1622965337424,,20,,1.43,7,137,5
1622965338386,,20,,1.43,7,137,5
1622965339394,,20,,1.43,7,137,5
1622965340368,,20,,1.43,7,136,5
1622965341360,,20,,1.43,7,136,5
1622965343205,,20,,1.43,7,137,5
1622965343856,,20,,1.43,7,136,5
1622965344828,,20,,1.43,7,136,5
1622965345814,,20,,1.43,7,136,5
1622965346789,,20,,1.43,7,135,5
1622965347791,,20,,1.43,7,135,5
1622965348803,,20,,1.37,7,136,5
1622965350669,,20,,1.37,7,136,5
1622965350745,,20,,1.37,7,136,5
1622965351739,,20,,1.37,7,135,5
1622965352733,,20,,1.37,7,135,5
1622965353713,,20,,1.37,7,135,5
1622965354743,,20,,1.37,7,135,5
1622965356723,,21,,1.37,7,133,5
1622965356731,,21,,1.37,7,134,5
1622965358622,,21,,1.37,7,135,5
1622965358717,,21,,1.37,7,135,5
1622965359684,,21,,1.37,7,134,5
1622965360698,,21,,1.37,7,134,5
1622965361658,,21,,1.37,7,134,5
1622965362629,,21,,1.37,7,134,5
1622965363648,,21,,1.37,7,133,5
1622965365528,,21,,1.37,7,135,5
1622965365615,,21,,1.37,7,135,5
1622965366648,,21,,1.37,7,135,5
1622965367631,,20,,1.37,7,134,5
1622965368621,,20,,1.4,6,135,5
1622965369601,,20,,1.4,6,135,4
1622965370582,,20,,1.4,6,135,4
1622965371557,,20,,1.4,6,135,4
1622965373469,,20,,1.4,6,135,4
